Ref,Trait Name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,10,82.1,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,15,112.9,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,20,155.88,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,25,248.62,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,30,93.74,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,35,40.9,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocket,EFOC,40,0,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 4,Calculated from Total eggs / total females from 1st oviposition cycle; translated from Chinese paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,21,163,19,19,salinity,0,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,21,157,14,14,salinity,5000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,21,166,14,14,salinity,10000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,21,152,14,14,salinity,16000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,25,134,19,19,salinity,0,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,25,150,14,14,salinity,5000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,25,131,14,14,salinity,10000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,25,163,9,9,salinity,16000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,30,107,13,13,salinity,0,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,30,124,17,17,salinity,5000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,30,104,18,18,salinity,10000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numazu_24,EPR,30,115,14,14,salinity,16000,Ador,NA,Parker_1982_AnnEntomolSocAm,Table 2,egg per raft (ovipositing female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
